Date,Open,High,Low,Close,Adj Close,Volume
2016-01-20,185.929993,188.410004,181.899994,186.649994,170.270309,10177900
2016-01-21,187.110001,189.789993,185.580002,187.619995,171.155243,8809600
2016-01-22,190.710007,191.669998,189.820007,191.490005,174.685623,4370100
2016-01-25,190.860001,191.080002,188.339996,188.570007,172.021866,4088400
2016-01-26,189.360001,191.440002,188.940002,191.130005,174.357224,4655700
2016-01-27,190.610001,192.500000,187.979996,189.080002,172.487091,5691600
2016-01-28,190.899994,191.100006,188.080002,190.110001,173.426712,5360400
2016-01-29,190.940002,194.690002,190.820007,194.619995,177.540924,7807600
2016-02-01,193.470001,195.529999,192.800003,194.600006,177.522675,6209900
2016-02-02,192.940002,192.940002,190.479996,191.089996,174.320724,7111300
2016-02-03,192.389999,192.720001,188.050003,192.110001,175.251236,7298300
2016-02-04,191.710007,193.690002,190.929993,192.529999,175.634323,4503000
2016-02-05,191.960007,192.020004,188.139999,188.850006,172.277328,5561300
2016-02-08,186.679993,187.000000,183.720001,186.309998,169.960220,8106400
2016-02-09,184.210007,187.869995,184.110001,186.240005,169.896332,5588300
2016-02-10,187.300003,189.240005,186.039993,186.149994,169.814255,3838200
2016-02-11,183.179993,184.960007,182.020004,183.830002,167.697830,5853800
2016-02-12,185.839996,187.580002,184.869995,187.550003,171.091400,3273100
2016-02-16,189.759995,190.740005,188.559998,190.669998,173.937576,3444500
2016-02-17,192.119995,194.279999,191.970001,193.830002,176.820267,3898100
2016-02-18,194.199997,194.250000,192.690002,193.050003,176.108704,3710200
2016-02-19,192.130005,193.139999,191.419998,192.929993,175.999252,2521700
2016-02-22,194.850006,195.929993,194.789993,195.720001,178.544403,2517000
2016-02-23,195.020004,195.279999,193.160004,193.339996,176.373276,2727400
2016-02-24,191.589996,194.500000,190.270004,194.220001,177.176071,2966000
2016-02-25,194.710007,196.559998,193.820007,196.500000,179.255981,2731500
2016-02-26,197.580002,197.679993,195.889999,196.149994,178.936691,4392600
2016-02-29,196.139999,197.250000,194.419998,194.509995,177.440582,5026000
2016-03-01,196.020004,199.210007,195.470001,199.190002,181.709915,5127900
2016-03-02,198.720001,200.089996,198.279999,200.070007,182.512680,4431300
2016-03-03,199.789993,200.830002,199.139999,200.779999,183.160385,3087200
2016-03-04,201.080002,202.399994,200.100006,201.479996,183.798935,3465700
2016-03-07,200.410004,202.119995,200.289993,201.679993,183.981354,3868300
2016-03-08,200.369995,200.960007,199.250000,199.380005,181.883194,3312400
2016-03-09,200.389999,200.800003,199.449997,200.410004,182.822845,3239400
2016-03-10,201.000000,202.110001,198.460007,200.520004,182.923172,3302300
2016-03-11,202.320007,203.880005,202.199997,203.839996,185.951843,2675500
2016-03-14,203.250000,204.130005,202.850006,203.559998,185.696411,4579800
2016-03-15,202.440002,203.279999,202.119995,203.220001,185.386261,4213300
2016-03-16,202.639999,204.899994,202.589996,204.520004,186.572189,3510400
2016-03-17,204.350006,206.330002,203.860001,205.809998,187.748932,5150200
2016-03-18,206.380005,206.940002,205.960007,206.570007,188.442276,6273200
2016-03-21,206.250000,207.110001,205.960007,206.869995,188.715942,4764800
2016-03-22,205.919998,207.399994,205.729996,206.750000,188.606445,4603500
2016-03-23,205.130005,205.360001,204.050003,204.300003,187.384949,2981100
2016-03-24,203.050003,204.199997,202.770004,204.179993,187.274887,3317900
2016-03-28,204.669998,204.880005,203.750000,204.309998,187.394104,2277500
2016-03-29,203.809998,206.259995,203.429993,206.259995,189.182693,3928400
2016-03-30,206.259995,207.910004,206.259995,207.130005,189.980652,2760600
2016-03-31,206.960007,207.449997,206.380005,206.649994,189.540405,4606200
2016-04-01,205.410004,208.199997,205.050003,207.970001,190.751083,4127100
2016-04-04,207.919998,208.130005,206.949997,207.289993,190.127396,3051500
2016-04-05,205.750000,206.270004,204.929993,205.259995,188.265457,3063100
2016-04-06,205.339996,207.539993,205.020004,207.479996,190.301666,2896900
2016-04-07,206.220001,206.589996,204.130005,204.970001,187.999496,7193900
2016-04-08,206.380005,206.880005,204.919998,205.580002,188.558990,2432400
2016-04-11,206.300003,207.110001,204.949997,205.000000,188.027008,2745500
2016-04-12,205.270004,207.320007,204.750000,207.020004,189.879730,2453300
2016-04-13,208.050003,209.160004,207.910004,209.100006,191.787552,3197700
2016-04-14,209.139999,209.660004,208.679993,209.119995,191.805878,2510600
2016-04-15,209.119995,209.169998,208.479996,208.789993,191.503220,2828500
2016-04-18,208.199997,210.350006,208.070007,210.309998,192.897369,3475000
2016-04-19,210.809998,211.279999,210.020004,210.949997,193.484360,3401000
2016-04-20,211.029999,212.000000,210.479996,211.110001,193.631104,2458800
